Date,Year,Month,Route,Count
2018-08-14,2018,Aug,Canada Line Bridge at West Kent,736.0
2018-08-14,2018,Aug,Comox at Thurlow,1113.0
2018-08-14,2018,Aug,Dunsmuir Viaduct,3131.0
2018-08-14,2018,Aug,East 10th at Clark,2503.0
2018-08-14,2018,Aug,Hornby and Robson,3123.0
2018-08-14,2018,Aug,Lions Gate Bridge at Spirit Trail,2074.0
2018-08-14,2018,Aug,Ontario and 11th,2181.0
2018-08-14,2018,Aug,Point Grey at Stephens,2348.0
2018-08-14,2018,Aug,Point Grey at Volunteer Park,2958.0
2018-08-14,2018,Aug,Seawall 2nd Beach Pool,4913.0
2018-08-14,2018,Aug,Seawall at David Lam Park,4327.0
2018-08-14,2018,Aug,Seawall at HMS Discovery,4635.0
2018-08-14,2018,Aug,Seawall at Harbour Green Park,2910.0
2018-08-14,2018,Aug,Seawall at Science World,7504.0
2018-08-14,2018,Aug,Smithe at Expo,1311.0
2018-08-14,2018,Aug,Stephens at Point Grey,818.0
2018-08-14,2018,Aug,Union at Hawks,4654.0
2018-08-15,2018,Aug,Burrard at Cornwall,6554.0
2018-08-15,2018,Aug,Canada Line Bridge at West Kent,723.0
2018-08-15,2018,Aug,Comox at Thurlow,1010.0
2018-08-15,2018,Aug,Dunsmuir Viaduct,3125.0
2018-08-15,2018,Aug,East 10th at Clark,2559.0
2018-08-15,2018,Aug,Hornby and Robson,3121.0
2018-08-15,2018,Aug,Lions Gate Bridge at Spirit Trail,1950.0
2018-08-15,2018,Aug,Ontario and 11th,2360.0
2018-08-15,2018,Aug,Point Grey at Stephens,2357.0
2018-08-15,2018,Aug,Point Grey at Volunteer Park,3066.0
2018-08-15,2018,Aug,Seawall 2nd Beach Pool,4612.0
2018-08-15,2018,Aug,Seawall at David Lam Park,3977.0
2018-08-15,2018,Aug,Seawall at HMS Discovery,4634.0
2018-08-15,2018,Aug,Seawall at Harbour Green Park,2825.0
2018-08-15,2018,Aug,Seawall at Science World,7330.0
2018-08-15,2018,Aug,Smithe at Expo,1797.0
2018-08-15,2018,Aug,Stephens at Point Grey,880.0
2018-08-15,2018,Aug,Union at Hawks,4841.0
2018-08-16,2018,Aug,Burrard at Cornwall,6915.0
2018-08-16,2018,Aug,Canada Line Bridge at West Kent,845.0
2018-08-16,2018,Aug,Comox at Thurlow,1036.0
2018-08-16,2018,Aug,Dunsmuir Viaduct,3006.0
2018-08-16,2018,Aug,East 10th at Clark,2485.0
2018-08-16,2018,Aug,Hornby and Robson,3002.0
2018-08-16,2018,Aug,Lions Gate Bridge at Spirit Trail,2072.0
2018-08-16,2018,Aug,Ontario and 11th,2388.0
2018-08-16,2018,Aug,Point Grey at Stephens,2533.0
2018-08-16,2018,Aug,Point Grey at Volunteer Park,3166.0
2018-08-16,2018,Aug,Seawall 2nd Beach Pool,4907.0
2018-08-16,2018,Aug,Seawall at David Lam Park,4510.0
2018-08-16,2018,Aug,Seawall at HMS Discovery,5021.0
2018-08-16,2018,Aug,Seawall at Harbour Green Park,3181.0
2018-08-16,2018,Aug,Seawall at Science World,7986.0
2018-08-16,2018,Aug,Smithe at Expo,1316.0
2018-08-16,2018,Aug,Stephens at Point Grey,862.0
2018-08-16,2018,Aug,Union at Hawks,4700.0
2018-08-17,2018,Aug,Burrard at Cornwall,6310.0
2018-08-17,2018,Aug,Canada Line Bridge at West Kent,741.0
2018-08-17,2018,Aug,Comox at Thurlow,1018.0
2018-08-17,2018,Aug,Dunsmuir Viaduct,2704.0
2018-08-17,2018,Aug,East 10th at Clark,2239.0
2018-08-17,2018,Aug,Hornby and Robson,2807.0
2018-08-17,2018,Aug,Lions Gate Bridge at Spirit Trail,1914.0
2018-08-17,2018,Aug,Ontario and 11th,2063.0
2018-08-17,2018,Aug,Point Grey at Stephens,2439.0
2018-08-17,2018,Aug,Point Grey at Volunteer Park,3081.0
